note,velocity,position,duration,anomalies
66,55,1,239,0
68,52,240,140,0
69,48,360,120,0
68,55,480,240,0
56,64,308,480,3
59,30,480,480,0
71,45,720,240,0
64,55,960,960,0
69,52,1200,240,0
67,81,1813,439,4
71,62,1440,220,0
69,56,1680,220,0
73,66,1680,220,0
64,46,1920,960,0
62,49,2321,480,2
76,59,1920,480,0
73,57,2400,480,0
69,49,2400,480,0
73,69,2880,240,0
74,68,3120,140,0
88,66,2958,509,3
78,66,3360,240,0
73,55,3622,480,1
66,46,3360,480,0
73,59,3600,240,0
71,42,3840,480,0
66,35,3840,480,0
74,57,3840,480,0
66,58,4320,240,0
68,55,4560,140,0
69,51,4933,120,1
63,46,4800,480,0
73,50,4800,240,0
70,45,5040,480,0
62,40,5280,480,0
71,42,5520,240,0
66,55,5760,240,0
68,54,6373,401,2
78,50,6120,960,2
68,55,6240,240,0
64,37,6240,480,0
59,37,6240,480,0
71,45,6480,240,0
64,55,6720,960,0
69,55,6960,240,0
65,52,7521,220,2
71,62,7200,836,1
69,57,7440,220,0
73,67,7440,220,0
64,45,7680,960,0
71,49,7680,480,0
79,29,7680,1096,3
73,63,8160,480,0
69,54,8160,480,0
73,75,8640,240,0
75,72,8880,140,0
76,68,9000,120,0
64,53,9120,480,0
68,73,9255,240,1
73,96,9557,303,3
71,62,9600,480,0
63,43,9600,480,0
66,43,9600,480,0
71,58,10080,480,0
64,58,10080,480,0
73,76,10080,240,0
75,75,10320,140,0
76,70,10440,120,0
64,53,10560,480,0
68,73,10560,240,0
65,58,10320,644,3
71,62,11040,480,0
66,43,11040,480,0
63,43,11040,480,0
73,77,11520,240,0
64,59,11520,480,0
77,59,11110,544,3
75,75,11760,140,0
76,71,11880,120,0
80,75,11744,937,2
82,104,12240,240,2
75,68,12480,240,0
73,62,12720,240,0
73,55,12960,480,0
66,44,12960,480,0
63,44,12960,480,0
63,44,13440,480,0
61,89,13129,240,2
75,52,13796,480,2
59,56,13680,230,0
59,39,13920,480,0
64,45,13920,480,0
74,54,14400,240,0
67,50,14947,140,2
71,47,14760,120,0
63,43,14880,480,0
66,51,14880,240,0
69,40,15120,240,0
64,39,15360,480,0
68,46,15360,480,0
61,41,15840,240,0
66,50,15840,240,0
60,31,16080,240,0
68,39,16080,240,0
61,41,16320,240,0
66,50,16320,240,0
68,38,16560,240,0
60,30,16560,240,0
