note,velocity,position,duration,anomalies
69,33,960,151,0
62,5,1344,151,3
72,33,1280,151,0
76,33,1440,151,0
81,33,1141,151,1
83,33,1760,151,0
88,33,1920,455,0
76,33,2400,455,0
84,33,2880,911,0
84,33,3840,455,0
83,33,4320,911,0
79,33,5280,455,0
81,33,5760,455,0
79,33,6240,683,0
77,33,6960,227,0
79,33,6737,911,1
76,33,8160,455,0
77,33,8640,455,0
79,33,9120,455,0
81,33,9600,455,0
84,33,10080,455,0
83,33,10560,683,0
79,33,11280,227,0
76,33,11520,683,0
77,33,12240,113,0
76,33,12360,113,0
74,33,12480,455,0
69,33,13449,1050,3
64,49,13920,455,0
64,49,14400,911,0
72,49,14400,911,0
69,49,15360,455,0
72,49,15360,455,0
64,49,15840,911,0
71,49,15840,911,0
64,49,16800,455,0
67,49,16800,455,0
65,49,17280,455,0
69,49,17280,455,0
67,85,17760,1257,2
71,49,17760,683,0
69,49,18480,227,0
72,49,18480,227,0
60,49,18720,911,0
67,49,18720,911,0
64,49,19680,455,0
62,49,20160,455,0
65,49,20160,455,0
64,49,20640,455,0
67,49,20640,455,0
65,49,21120,455,0
69,49,21120,455,0
62,49,21600,455,0
67,49,21600,455,0
72,49,21600,455,0
62,49,22080,683,0
71,49,22080,683,0
67,49,22800,227,0
59,49,23040,1367,0
64,49,23040,960,0
71,49,22700,1367,2
57,49,24480,455,0
61,49,24480,455,0
59,54,24960,455,0
62,54,24960,455,0
64,59,25440,455,0
64,64,26151,227,2
74,64,25920,227,0
74,64,26160,227,0
74,64,26400,227,0
74,64,26640,227,0
74,64,26880,227,0
77,64,27120,227,0
64,64,27360,227,0
69,64,27360,227,0
76,64,27360,227,0
72,64,27600,227,0
69,64,27840,911,0
62,64,28800,227,0
65,64,28800,227,0
70,64,28800,227,0
70,35,29189,227,2
70,64,29280,227,0
69,64,29520,227,0
70,64,29760,227,0
74,64,30000,227,0
60,64,30240,227,0
65,64,30240,227,0
72,64,30240,227,0
69,64,30480,227,0
65,64,30720,911,0
58,64,31680,455,0
67,64,31680,455,0
67,64,32160,227,0
65,64,32400,227,0
67,64,32445,227,1
70,64,32880,227,0
57,64,33120,227,0
62,64,33120,227,0
69,64,33120,227,0
65,64,33360,227,0
62,64,33600,683,0
65,64,34320,227,0
60,64,34560,455,0
64,64,34560,455,0
67,64,34560,455,0
52,64,35229,1573,3
67,64,35760,227,0
66,64,36000,1367,0
69,64,36000,1367,0
65,64,37440,227,0
74,64,37440,227,0
65,64,37680,227,0
74,64,37680,227,0
65,64,37920,227,0
74,64,37920,227,0
65,64,38160,227,0
74,64,38160,227,0
65,64,38400,227,0
74,64,38400,227,0
69,64,38640,227,0
77,64,38640,227,0
69,64,38880,227,0
76,64,38880,227,0
64,64,39120,227,0
72,64,39120,227,0
60,64,39360,480,0
69,64,39360,911,0
62,64,40320,455,0
