note,velocity,position,duration,anomalies
77,63,10266,478,0
78,62,10775,476,0
77,65,11264,184,0
78,62,11429,184,0
77,62,11594,203,0
73,62,11783,474,0
75,67,12292,1554,0
80,62,13847,977,0
83,62,14855,474,0
80,67,15364,431,0
82,63,16410,478,0
83,62,16919,476,0
85,65,17426,470,0
82,62,17927,474,0
83,67,18436,1554,0
82,50,19991,1038,0
80,62,20999,230,0
78,62,21245,243,0
77,67,21508,431,0
83,63,22554,478,0
85,62,23063,476,0
87,65,23570,470,0
89,62,24071,474,0
83,67,24580,1554,0
82,62,26135,977,0
75,62,27143,474,0
80,67,27652,1045,0
78,63,28698,1015,0
77,65,29714,1005,0
78,67,30724,509,0
77,62,31264,475,0
75,63,31770,478,0
73,62,32279,977,0
94,62,33160,536,3
75,67,33796,1045,0
70,62,35351,476,0
71,65,35858,470,0
70,62,36359,504,0
63,54,36868,3067,0
70,54,36868,3067,0
73,68,36868,3067,0
89,63,40986,478,0
90,62,41495,476,0
89,65,42002,470,0
90,62,42503,474,0
89,67,43012,1554,0
92,62,44567,1512,0
87,67,46084,1045,0
82,62,47639,476,0
83,65,48146,470,0
82,62,48647,474,0
75,59,49156,1045,0
85,73,49156,1045,0
82,54,53783,476,0
94,68,53783,506,0
83,57,54290,470,0
95,71,54290,922,1
82,54,54791,474,0
94,68,54791,504,0
85,59,55300,1045,0
97,73,55300,1045,0
75,80,61444,1554,0
80,75,62999,977,0
83,75,64007,474,0
80,80,64516,431,0
82,76,65562,478,0
83,75,66071,476,0
85,78,66578,470,0
82,75,67079,474,0
83,80,67588,1554,0
82,63,69143,1038,0
80,75,70151,230,0
78,75,70397,243,0
77,80,70660,431,0
83,76,71706,478,0
85,75,72215,476,0
87,78,72722,470,0
89,75,73223,474,0
83,80,73732,1554,0
82,75,75287,977,0
75,75,76295,474,0
80,80,76804,1045,0
78,76,77850,1015,0
77,78,78866,1005,0
78,80,79876,509,0
77,75,80416,475,0
75,76,80922,478,0
73,75,81431,977,0
80,75,82439,474,0
75,80,82948,1554,0
70,75,84503,476,0
71,78,85010,470,0
70,75,85511,474,0
73,75,86020,3067,0
89,76,90138,478,0
90,75,90647,476,0
89,78,91154,470,0
90,75,91655,474,0
89,80,92164,1554,0
92,75,93719,1512,0
87,80,95236,431,0
82,75,96791,476,0
83,78,97298,470,0
82,75,97799,474,0
85,80,98308,1045,0
82,67,102935,476,0
94,81,102935,506,0
83,70,103442,470,0
95,84,103442,500,0
82,67,103943,474,0
94,81,103943,504,0
85,72,104452,1045,0
97,86,104452,1045,0
75,80,110596,1554,0
80,75,112151,977,0
83,75,113159,474,0
80,80,113668,431,0
82,76,114714,478,0
83,75,115223,476,0
85,50,115730,983,2
82,75,116231,474,0
83,80,116740,1554,0
82,63,118295,1601,1
80,75,119303,230,0
78,75,119549,243,0
77,100,119660,431,2
83,76,120858,478,0
90,108,121662,476,3
87,78,121874,470,0
89,75,122375,474,0
83,80,122884,1554,0
82,75,124439,977,0
75,75,125447,474,0
80,80,125956,1045,0
78,76,127002,1015,0
77,78,128018,1005,0
78,80,129028,509,0
77,75,129568,475,0
75,76,130074,478,0
73,75,130583,977,0
80,75,131591,474,0
75,80,132100,1554,0
70,75,133655,476,0
71,78,134162,470,0
70,75,134663,474,0
73,75,135172,3067,0
89,76,139290,478,0
90,75,139799,476,0
89,78,140306,470,0
90,75,140807,474,0
89,80,141316,1554,0
92,75,142871,1512,0
87,80,144388,431,0
70,75,145943,476,0
71,78,146450,470,0
68,78,146450,470,0
70,83,146951,474,0
65,83,146951,474,0
73,88,147460,4117,0
63,85,147460,1554,0
78,95,147551,1554,2
63,68,149015,1007,0
68,78,149015,1007,0
63,68,150023,535,0
68,82,150023,504,0
61,85,150532,1045,0
65,99,150532,1045,0
65,81,151578,1015,0
68,95,151578,1015,0
70,88,152087,476,0
72,91,152594,470,0
65,83,152749,1699,3
65,97,152594,1005,0
79,88,153551,474,2
73,88,153604,3067,0
64,85,153604,1554,0
67,99,153604,1554,0
64,68,155159,1007,0
67,78,155159,1007,0
64,68,156167,535,0
67,82,156167,504,0
79,93,156676,1554,0
73,85,156676,1045,0
76,99,156676,1045,0
76,81,157722,1015,0
81,95,157722,1015,0
78,88,158231,476,0
76,91,158738,470,0
73,91,158738,1005,0
79,88,159239,474,0
71,88,159748,4117,0
63,85,159748,1554,0
66,95,159748,1554,0
63,68,161303,1007,0
66,78,161303,1007,0
63,68,162311,504,0
66,82,162311,504,0
59,85,162820,1045,0
71,99,162820,1045,1
70,89,163866,1015,0
63,81,163866,1015,0
66,95,163866,1015,0
71,91,164882,1005,0
59,83,164882,1005,0
63,97,164882,1005,0
70,93,165892,1554,0
61,85,165892,1045,0
65,99,165892,1045,0
63,81,166938,1015,0
68,95,166938,1015,0
71,88,167447,235,0
70,88,167698,240,0
69,91,167954,470,0
70,88,168455,474,0
58,80,168455,474,0
63,94,168455,504,0
77,88,168964,2061,0
61,85,168964,1045,0
66,99,168964,1045,0
66,81,170010,1015,0
70,95,170010,1015,0
73,91,171026,1005,0
66,83,171026,1005,0
70,97,171026,1005,0
75,88,172036,5133,0
68,85,172036,1554,0
71,99,171546,1554,1
63,80,173591,977,0
68,94,173591,1007,0
68,80,174599,504,0
71,94,174599,504,0
68,85,175108,1045,0
71,99,175108,1045,0
63,81,176154,1015,0
68,95,176154,1015,0
76,91,177559,178,2
59,83,177170,1005,0
63,97,177170,1005,0
75,88,177425,230,0
73,88,177671,474,0
75,88,178180,2061,0
70,85,178180,1554,0
73,99,178180,1554,0
63,80,179735,977,0
66,94,179735,1007,0
70,91,180242,975,0
70,80,180743,474,0
73,94,180743,504,0
63,85,181252,1045,0
66,99,181252,1137,1
65,81,182298,1760,1
68,95,182298,1015,0
66,83,183314,1005,0
70,97,183314,1005,0
81,93,184324,509,0
69,80,184324,3067,0
73,94,184324,3037,0
80,88,184864,475,0
78,89,185370,478,0
76,88,185879,476,0
74,91,186386,470,0
73,88,186887,474,0
71,93,187396,509,0
69,88,187936,475,0
68,57,188100,478,2
66,88,188951,476,0
71,83,189458,239,0
74,97,189458,254,0
69,80,189713,230,0
73,94,189713,245,0
68,80,189959,474,0
71,94,189959,504,0
70,80,190468,1585,0
73,94,190468,3067,0
63,81,190468,570,0
66,76,191008,536,0
70,77,191514,539,0
66,76,192023,537,0
69,79,192530,531,0
65,76,193031,535,0
69,80,193540,2593,0
72,94,193540,3067,0
63,81,193540,570,0
66,76,194080,536,0
70,77,194586,539,0
66,76,195095,537,0
69,79,195602,531,0
65,76,196103,535,0
70,80,196612,1585,0
73,94,196612,3067,0
63,81,196612,570,0
66,76,197152,536,0
70,77,197658,539,0
66,76,198167,537,0
69,79,198674,531,0
65,76,199175,535,0
69,110,199684,2778,2
60,94,199684,3421,2
63,81,199684,570,0
66,76,200224,536,0
70,77,200730,794,1
66,76,201239,537,0
69,79,201746,531,0
65,76,202247,535,0
73,80,202756,1585,0
77,94,202756,3067,0
63,81,202756,570,0
70,75,203296,536,0
73,74,203802,539,0
70,72,204311,537,0
72,70,204818,531,0
68,68,205319,535,0
63,67,205828,570,0
70,65,206368,536,0
73,63,206874,539,0
70,61,207383,537,0
72,60,207890,531,0
68,58,208391,535,0
63,56,208900,570,0
70,54,209440,536,0
73,53,209946,539,0
70,51,210455,537,0
72,49,210962,531,0
