note,velocity,position,duration,anomalies
62,69,10,286,0
62,64,297,233,0
74,64,154,200,1
69,103,604,291,2
68,64,1807,246,0
67,64,2332,187,0
65,64,2827,498,0
62,64,3341,232,0
65,64,3589,232,0
67,64,3837,243,0
60,69,4100,292,0
60,64,4393,233,0
74,64,4642,200,0
59,65,5150,291,1
68,64,5903,246,0
67,64,6428,187,0
65,64,6923,498,0
62,64,7437,232,0
53,64,7342,232,2
67,64,7933,243,0
59,69,8196,292,0
59,64,8489,233,0
87,64,8633,266,3
69,65,9246,291,0
81,28,10326,825,4
67,64,10831,187,1
65,64,11019,498,0
54,64,11533,690,2
65,64,11781,748,1
62,64,12125,351,3
63,69,11883,817,3
58,64,12585,233,0
74,64,12834,200,0
69,65,13342,291,0
68,64,14095,246,0
67,64,14620,187,0
65,64,15115,498,0
57,95,15947,232,3
65,64,15877,232,0
67,64,16125,243,0
65,69,16670,955,3
50,94,16800,1042,3
62,64,16681,233,0
74,64,16930,200,0
56,98,16749,643,4
69,65,17438,291,0
50,65,17851,257,1
50,64,17696,187,0
71,64,18191,976,2
50,64,18191,246,0
67,64,18716,187,0
42,35,18716,187,2
51,103,18735,1434,4
50,64,19211,256,0
50,65,19468,256,0
62,64,19725,232,0
50,64,19725,450,1
65,64,19973,930,1
50,64,19973,199,0
67,64,20221,243,0
61,69,20122,226,3
48,69,20484,234,0
60,64,20777,233,0
77,64,21026,150,2
48,64,21026,200,0
69,65,21534,291,0
48,32,21534,257,1
48,64,21792,187,0
68,64,22287,246,0
48,64,22287,246,0
75,64,22973,187,2
55,64,22812,187,1
65,64,23307,498,0
48,64,23307,256,0
48,65,23564,256,0
62,64,23821,232,0
48,64,23821,247,0
65,89,24069,1167,2
48,64,24069,199,0
67,64,24317,243,0
59,69,24580,292,0
47,69,24580,234,0
59,64,24873,233,0
74,64,25122,200,0
44,64,25122,676,2
69,65,25630,291,0
47,65,25630,257,0
47,95,26270,187,2
68,64,26383,246,0
47,64,26383,246,0
67,64,26908,187,0
50,64,27159,889,3
65,64,27403,498,0
47,64,27403,256,0
47,65,27660,256,0
62,64,27917,232,0
47,64,27917,247,0
65,64,28165,232,0
