note,velocity,time,anomalies
68,59,127,0
63,39,127,0
70,57,127,0
66,28,127,2
76,0,127,2
72,57,127,0
73,92,127,2
63,34,127,0
67,38,127,0
72,62,127,0
67,35,127,0
63,30,127,0
70,51,127,0
72,63,127,0
68,42,127,0
63,38,127,0
73,68,127,0
63,37,127,0
68,41,127,0
75,71,127,0
91,73,127,1
68,87,127,2
74,56,127,0
79,74,127,0
68,51,127,0
74,56,127,0
80,77,127,0
81,81,127,1
80,44,127,2
68,38,127,0
63,38,127,0
72,43,127,0
68,38,127,0
63,38,127,0
78,59,127,0
77,56,127,0
75,59,127,0
78,56,127,0
77,62,127,0
73,36,127,2
81,55,127,1
65,50,127,0
65,79,127,3
75,56,127,0
73,59,127,0
76,56,127,0
75,62,127,0
72,59,127,0
68,57,127,0
63,52,127,0
60,35,127,0
63,39,127,0
68,59,127,0
60,35,127,0
63,39,127,0
67,63,127,0
60,31,127,0
65,36,127,0
60,31,127,0
65,36,127,0
68,59,127,0
70,68,127,0
62,0,127,1
68,36,127,0
71,61,127,0
62,31,127,0
68,36,127,0
70,59,127,0
71,52,127,0
67,59,127,0
61,36,127,0
63,40,127,0
61,35,127,0
63,39,127,0
68,59,127,0
63,39,127,0
70,58,127,0
60,53,127,2
68,31,127,0
72,57,127,0
73,63,127,0
63,34,127,0
67,38,127,0
72,62,127,0
72,3,127,3
63,30,127,0
70,51,127,0
81,63,127,1
68,42,127,0
63,38,127,1
73,68,127,0
71,37,127,1
68,41,127,0
75,71,127,0
77,73,127,0
68,48,127,0
74,28,127,1
74,96,127,2
68,48,127,0
74,55,127,0
80,77,127,0
85,81,127,1
63,38,127,0
68,38,127,0
72,44,127,0
63,38,127,0
68,7,127,1
72,43,127,0
78,59,127,0
77,56,127,0
77,59,127,1
65,25,127,3
77,62,127,0
73,59,127,0
70,55,127,0
65,50,127,0
80,66,127,0
79,61,127,0
77,64,127,0
80,60,127,0
79,68,127,0
76,61,127,0
72,59,127,0
67,55,127,0
74,70,127,0
66,46,127,0
72,46,127,0
76,70,127,1
67,34,127,0
72,37,127,0
79,70,127,0
74,41,127,2
65,39,127,0
71,45,127,0
76,73,127,0
67,40,127,0
64,36,127,0
72,61,127,0
74,71,127,0
72,50,127,0
66,45,127,0
76,73,127,0
67,44,127,0
72,48,127,0
79,69,127,0
74,73,127,0
65,39,127,0
71,41,127,0
76,70,127,0
65,45,127,0
71,66,84,2
74,85,0,2
76,60,127,0
72,66,127,0
76,55,127,0
