note,velocity,time,anomalies
49,39,127,0
53,39,127,0
56,47,127,0
49,37,127,0
58,44,127,0
54,44,127,0
49,37,127,0
57,0,127,3
56,44,127,0
58,44,127,0
51,37,127,0
46,37,127,1
49,39,127,0
59,39,127,2
56,47,127,0
56,46,127,0
48,38,127,0
51,38,127,0
49,39,127,0
53,39,127,0
56,47,127,0
61,54,127,0
56,45,127,0
53,45,127,0
54,47,127,0
58,47,127,0
61,56,127,0
56,36,127,0
53,36,127,0
61,44,127,0
52,37,127,0
61,44,127,0
55,37,127,0
54,39,127,0
51,39,127,0
61,47,127,0
51,37,127,0
60,43,127,0
54,37,127,0
49,37,127,0
53,37,127,0
62,71,127,2
49,39,127,0
53,39,41,1
56,47,127,0
56,37,127,2
54,44,127,0
58,44,127,0
49,37,127,0
53,37,127,0
56,44,127,0
49,37,127,0
51,37,127,0
58,44,127,0
49,39,127,0
51,39,127,0
56,47,127,0
48,38,127,0
51,38,127,0
56,46,127,0
49,39,127,0
53,39,127,0
56,47,127,0
53,45,127,0
56,45,127,0
61,54,127,0
54,47,127,0
58,47,127,0
61,56,127,0
53,34,127,0
56,34,127,0
61,41,127,0
52,37,127,0
55,37,127,0
61,44,127,0
51,39,127,0
54,39,127,1
61,47,127,0
51,37,127,0
54,37,127,0
60,43,127,0
49,37,127,0
53,37,127,0
61,43,127,0
48,39,127,0
51,39,127,0
56,47,127,0
48,37,127,0
54,44,127,0
56,44,127,0
48,37,60,0
51,44,60,0
56,44,60,0
49,39,127,0
53,39,127,0
56,47,127,0
53,45,120,0
56,45,120,0
61,53,120,0
56,41,127,0
54,41,127,0
60,49,127,0
53,31,127,0
56,31,127,0
61,13,127,1
48,39,127,0
51,39,127,0
56,47,127,0
48,37,127,0
54,72,127,1
56,44,127,0
48,37,60,0
51,44,60,0
56,44,60,0
49,39,127,0
53,39,127,0
64,78,127,2
53,45,120,0
56,45,120,0
65,55,120,0
56,45,127,0
54,45,127,0
65,58,120,0
63,51,120,0
53,31,127,0
56,31,127,0
61,37,127,0
48,46,127,0
51,46,127,0
56,56,127,0
48,52,127,0
54,62,127,0
56,62,127,0
48,57,60,0
41,68,60,1
56,68,60,0
56,70,127,0
61,70,127,0
68,87,127,0
61,60,120,0
65,93,120,1
68,72,120,0
63,61,127,0
60,61,127,0
68,79,120,0
66,66,120,0
56,44,127,0
61,44,127,0
65,55,127,0
54,39,127,0
58,66,127,2
63,47,127,0
62,37,127,1
51,37,127,0
56,43,127,0
49,37,127,0
53,37,127,0
61,43,127,0
48,39,127,0
51,39,127,0
56,47,127,0
48,37,127,0
54,44,127,0
54,44,127,1
48,37,60,0
51,44,60,0
56,44,60,0
49,39,127,0
53,39,127,0
56,47,127,0
53,45,120,0
47,45,0,2
61,53,120,0
56,41,127,0
54,41,127,0
60,49,127,0
53,31,127,0
56,31,127,0
61,37,127,0
48,39,127,0
51,39,127,0
56,47,127,0
48,37,127,0
54,44,127,0
56,44,127,0
48,37,60,0
51,44,60,0
56,44,60,0
49,39,127,0
53,39,127,0
56,25,127,1
53,45,120,0
56,45,120,0
65,55,120,0
56,45,127,0
54,45,127,0
65,58,120,0
59,73,127,3
53,31,127,0
56,31,127,0
50,77,127,2
48,46,127,0
51,46,127,0
49,56,127,1
48,52,127,0
54,62,127,0
56,62,127,0
48,57,60,0
51,68,60,0
56,68,60,0
56,70,127,0
61,70,127,0
68,87,127,0
61,61,120,0
65,61,120,0
68,73,120,0
63,61,127,0
60,61,127,0
68,79,120,0
66,66,120,0
56,44,127,0
61,44,127,0
65,55,127,0
54,39,127,0
58,39,127,0
63,47,127,0
48,37,127,0
