note,velocity,time,anomalies
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
83,64,127,0
79,63,127,0
78,57,127,0
76,57,127,0
79,64,127,0
92,63,127,1
77,57,127,0
78,57,127,0
79,64,127,0
79,63,127,0
80,70,127,0
80,70,127,0
81,72,127,0
76,63,127,0
75,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
76,57,127,0
75,57,127,0
76,55,120,0
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
83,64,127,0
79,63,127,0
78,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
77,57,127,0
78,57,127,1
79,64,127,0
79,63,127,0
80,70,127,0
80,70,127,0
81,70,127,0
76,63,127,0
75,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
76,57,127,0
75,57,127,0
76,55,120,0
72,19,127,3
67,45,127,0
69,58,127,0
71,57,127,0
71,64,127,0
69,55,127,0
68,56,127,0
69,62,127,0
62,51,127,0
67,54,127,0
69,63,127,0
71,66,127,0
74,69,127,0
73,64,127,0
72,68,127,0
69,64,127,0
71,58,127,0
71,66,127,0
63,72,119,2
71,65,127,0
72,63,127,0
72,69,127,0
79,76,127,0
74,72,127,0
76,50,28,2
76,69,127,0
76,73,127,0
76,66,127,0
75,71,127,0
71,72,127,0
71,78,127,0
71,83,127,0
59,66,127,0
64,66,127,0
67,66,127,0
71,83,127,0
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
84,69,127,0
83,66,127,0
79,57,127,0
76,57,127,0
79,64,127,0
78,63,127,1
77,57,127,0
78,57,127,0
79,64,127,0
79,63,127,0
89,39,127,2
80,70,127,0
81,73,127,0
76,63,127,0
75,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
76,57,127,0
63,82,127,3
89,91,127,3
62,45,127,0
67,45,127,0
69,58,127,0
71,57,127,0
71,64,127,0
69,55,127,0
68,31,127,2
69,62,127,0
62,51,127,0
67,54,127,0
69,63,127,0
71,61,127,0
74,96,127,2
73,64,127,0
72,68,127,0
69,64,127,0
61,93,127,3
66,40,127,3
76,72,127,0
71,65,127,0
72,63,127,0
72,89,127,1
79,73,127,0
74,66,127,0
76,71,127,0
82,69,127,1
68,73,127,2
76,66,127,0
75,71,127,0
71,72,127,0
71,78,127,0
71,83,127,0
59,66,127,0
64,66,127,0
67,66,127,0
71,83,127,0
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
84,69,127,0
83,66,127,0
79,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
77,57,127,0
78,57,127,0
79,64,127,0
79,63,127,0
80,70,127,0
71,96,127,2
81,69,127,0
65,33,127,2
75,57,127,0
72,25,127,2
79,64,127,0
78,63,127,0
76,57,127,0
75,57,127,0
76,55,127,0
76,61,127,0
76,64,127,0
76,58,127,0
76,54,127,0
76,56,127,0
76,61,127,0
76,57,127,0
76,63,127,0
71,66,127,0
67,101,127,2
64,64,127,0
59,63,127,0
59,65,127,0
55,68,127,0
52,63,127,0
67,70,127,0
71,70,127,0
76,70,127,0
79,88,127,0
52,92,127,0
