note,velocity,time,anomalies
63,47,127,0
68,26,127,1
59,26,127,0
71,45,127,0
70,50,127,0
61,27,127,0
67,46,127,0
77,50,127,2
59,28,127,0
70,51,127,0
71,53,127,0
59,30,127,0
73,51,127,0
75,44,127,0
63,28,127,0
74,38,127,1
73,41,127,0
64,26,127,0
75,37,127,0
71,36,127,0
63,29,127,0
66,47,127,0
71,53,127,0
63,26,127,0
75,45,127,0
73,50,127,0
64,27,127,0
70,46,127,0
71,50,127,0
63,28,127,0
73,51,127,0
75,53,127,0
63,30,127,0
77,57,127,0
78,61,127,0
66,35,127,0
68,21,109,3
77,55,127,0
68,26,127,0
78,44,127,0
75,34,127,0
66,26,127,1
75,48,127,0
76,51,127,0
67,27,127,0
73,45,127,0
75,48,127,0
68,28,127,0
71,45,127,0
71,44,127,0
62,27,127,0
68,39,127,0
67,35,127,0
63,26,127,0
70,25,127,0
63,45,127,0
68,51,127,0
59,28,127,0
74,53,127,2
71,55,127,0
61,28,127,0
73,52,127,0
75,55,127,0
61,33,127,0
73,53,127,0
71,50,120,0
59,27,127,0
71,46,127,0
71,49,127,0
61,42,127,0
70,46,127,0
63,37,127,0
68,46,127,0
59,26,127,0
71,44,127,0
72,69,127,3
61,27,127,0
67,46,127,0
68,50,127,0
59,28,127,0
70,51,127,0
71,53,127,0
59,30,127,0
73,51,127,0
75,44,127,0
63,28,127,0
76,38,127,0
73,41,127,0
64,26,127,0
75,37,127,0
71,36,127,0
63,29,127,0
66,51,127,0
71,53,127,0
63,26,127,0
75,45,127,0
73,50,127,0
64,27,127,0
70,46,127,0
71,50,127,0
63,28,127,0
73,51,127,0
75,53,127,0
63,30,127,0
77,57,127,0
78,61,127,1
66,35,127,0
80,52,127,0
77,55,127,0
68,26,127,0
78,44,127,0
75,34,127,0
66,26,127,0
75,48,127,0
76,51,127,0
67,27,127,0
73,45,127,0
75,48,127,0
68,28,127,0
71,45,127,0
71,44,127,0
62,27,127,0
68,39,127,0
67,38,127,0
63,26,127,0
70,25,127,0
63,45,127,0
68,51,127,0
59,28,127,0
70,53,127,0
71,55,127,0
61,28,127,0
73,52,127,0
75,55,127,0
61,33,127,0
73,53,127,0
71,50,120,0
59,27,127,0
71,46,127,0
71,49,127,0
61,42,127,0
70,46,127,0
63,41,127,0
68,46,127,0
59,29,127,0
70,50,127,0
71,52,127,0
59,34,127,0
75,56,127,0
80,61,127,0
58,47,127,0
59,38,127,0
63,36,127,0
68,29,127,0
